Player,Age,Team,Pos,G,MP,PTS,FG%,3P%,2P%,FT%,TRB,AST,STL,BLK
Malik Beasley,26,2TM,SG,81.0,25.8,12.7,0.395,0.357,0.484,0.769,3.5,1.5,0.8,0.1
Malik Beasley,26,UTA,SG,55.0,26.8,13.4,0.396,0.359,0.485,0.841,3.6,1.7,0.8,0.1
Malik Beasley,26,LAL,SG,26.0,23.9,11.1,0.392,0.353,0.481,0.619,3.3,1.2,0.8,0.0
KJ Martin,22,HOU,SF,82.0,28.0,12.7,0.569,0.315,0.679,0.68,5.5,1.5,0.5,0.4
Nic Claxton,23,BRK,C,76.0,29.9,12.6,0.705,0.0,0.708,0.541,9.2,1.9,0.9,2.5
Dennis Schrder,29,LAL,PG,66.0,30.1,12.6,0.415,0.329,0.461,0.857,2.5,4.5,0.8,0.2
Jakob Poeltl,27,2TM,C,72.0,26.5,12.5,0.629,0.0,0.63,0.592,9.1,2.7,0.9,1.2
Jakob Poeltl,27,SAS,C,46.0,26.1,12.1,0.616,0.0,0.618,0.605,9.0,3.1,0.8,1.1
Mac McClung,24,PHI,SG,2.0,20.5,12.5,0.45,0.364,0.556,0.6,5.0,4.5,0.0,0.0
Kelly Olynyk,31,UTA,C,68.0,28.6,12.5,0.499,0.394,0.576,0.853,6.2,3.7,0.9,0.5
Eric Gordon,34,2TM,SG,69.0,28.5,12.4,0.446,0.371,0.535,0.821,1.9,2.7,0.6,0.4
Eric Gordon,34,HOU,SG,47.0,30.2,13.1,0.439,0.347,0.536,0.815,2.1,2.9,0.6,0.4
Eric Gordon,34,LAC,SG,22.0,24.9,11.0,0.463,0.423,0.531,0.842,1.7,2.1,0.6,0.4
Derrick White,28,BOS,SG,82.0,28.3,12.4,0.462,0.381,0.548,0.875,3.6,3.9,0.7,0.9
Keegan Murray,22,SAC,SF,80.0,29.8,12.2,0.453,0.411,0.527,0.765,4.6,1.2,0.8,0.5
Caris LeVert,28,CLE,SG,74.0,30.2,12.1,0.431,0.392,0.462,0.722,3.8,3.9,1.0,0.3
Jaden McDaniels,22,MIN,SF,79.0,30.6,12.1,0.517,0.398,0.588,0.736,3.9,1.9,0.9,1.0
Marvin Bagley III,23,DET,C,42.0,23.6,12.0,0.529,0.288,0.579,0.75,6.4,0.9,0.5,0.7
Clint Capela,28,ATL,C,65.0,26.6,12.0,0.653,0.0,0.654,0.603,11.0,0.9,0.7,1.2
Mike Conley,35,2TM,PG,67.0,30.3,11.9,0.428,0.385,0.486,0.834,2.7,6.7,1.1,0.2
Mike Conley,35,UTA,PG,43.0,29.7,10.7,0.408,0.362,0.469,0.813,2.5,7.7,1.0,0.2
Mike Conley,35,MIN,PG,24.0,31.4,14.0,0.46,0.42,0.515,0.863,3.1,5.0,1.2,0.2
Bones Hyland,22,2TM,PG,56.0,19.4,11.8,0.399,0.371,0.434,0.843,2.4,3.1,0.7,0.3
Bones Hyland,22,DEN,PG,42.0,19.5,12.1,0.399,0.378,0.425,0.866,2.0,3.0,0.7,0.3
Bones Hyland,22,LAC,PG,14.0,18.9,10.8,0.401,0.351,0.46,0.75,3.5,3.4,0.8,0.1
Lonnie Walker IV,24,LAL,SG,56.0,23.2,11.7,0.448,0.365,0.522,0.858,1.9,1.1,0.5,0.3
Zach Collins,25,SAS,C,63.0,22.9,11.6,0.518,0.374,0.571,0.761,6.4,2.9,0.6,0.8
Bruce Brown,26,DEN,SF,80.0,28.5,11.5,0.483,0.358,0.548,0.758,4.1,3.4,1.1,0.6
Naz Reid,23,MIN,C,68.0,18.4,11.5,0.537,0.346,0.653,0.677,4.9,1.1,0.6,0.8
Marcus Smart,28,BOS,PG,61.0,32.1,11.5,0.415,0.336,0.519,0.746,3.1,6.3,1.5,0.4
Max Strus,26,MIA,SF,80.0,28.4,11.5,0.41,0.35,0.559,0.876,3.2,2.1,0.5,0.2
John Wall,32,LAC,PG,34.0,22.2,11.4,0.408,0.303,0.459,0.681,2.7,5.2,0.8,0.4
Quentin Grimes,22,NYK,SG,71.0,29.9,11.3,0.468,0.386,0.641,0.796,3.2,2.1,0.7,0.4
Isaiah Stewart,21,DET,C,50.0,28.3,11.3,0.442,0.327,0.542,0.738,8.1,1.4,0.4,0.7
Rui Hachimura,24,2TM,PF,63.0,23.3,11.2,0.486,0.319,0.55,0.739,4.5,0.9,0.3,0.4
Rui Hachimura,24,WAS,PF,30.0,24.3,13.0,0.488,0.337,0.545,0.759,4.3,1.2,0.4,0.4
Rui Hachimura,24,LAL,PF,33.0,22.4,9.6,0.485,0.296,0.556,0.721,4.7,0.7,0.2,0.4
Kyle Lowry,36,MIA,PG,55.0,31.2,11.2,0.404,0.345,0.509,0.859,4.1,5.1,1.0,0.4
Marcus Morris,33,LAC,PF,65.0,28.1,11.2,0.426,0.364,0.484,0.782,4.0,1.8,0.6,0.3
